Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,DERFLCRFO18-Q,DERMABLEND/FLAWLESS CREATOR LIQUID FOUNDATION (72N) 1.0 OZ (30 ML), 3606000473867, S2779001,40.00,40,24.05
,DERFLCRFO2-Q,DERMABLEND/FLAWLESS CREATOR LIQUID FOUNDATION 75W 1OZ/30ML, 3606000473904, S2779101,40.00,56,17.70
,DERFLCRFO7-Q,DERMABLEND/FLAWLESS CREATOR LIQUID FOUNDATION (35W) 1.0 OZ (30 ML), 3606000472389, S2768101,40.00,40,24.05
,EAMA1,ELIZABETH ARDEN/ lLASTING IMPRESSION MASCARA LASTING LASTING BLACK .3 OZ (8.5ML), 085805556020, A0105759,25.00,60,10.00
,EAMAW1,ELIZABETH ARDEN/ GRAND ENTRANCE MASCARA STUNNING BLACK WATERPROOF.3 OZ (8.5ML), 085805544492, GEMC401,25.00,60,10.00
,EALS10-Q,ELIZABETH ARDEN/PLUSH UP LIP GELATO (CORAL GLAZE 13) 0.11 OZ, 085805559694, A0107427,26.00,55,11.60
,EABECOLS6-Q,"ELIZABETH ARDEN/BEAUTIFUL COLOR BOLD LIQUID LIPSTICK ""EXTREME PINK"" 0.08 OZ", 085805549541, A0102536,22.00,65,7.75
,EAFLFIFOCR14-Q,"ELIZABETH ARDEN/FLAWLESS FINISH SPONGE-ON CREAM MAKEUP (70 SPICE) .8 OZ
SPONGE INCLUDED", 085805151379, ,40.00,78,8.75
,EAFLFIFOCR15-Q,"ELIZABETH ARDEN/FLAWLESS FINISH SPONGE-ON CREAM MAKEUP (49 CACOA) .8 OZ
SPONGE INCLUDED", 085805150563, ,40.00,78,8.75
,EAFLFIFO28,"ELIZABETH ARDEN/FLAWLESS FINISH SKINCARING FOUNDATION 460W  1.0 OZ (30 ML)
HYALURONIC ACID W/ VITAMIN C&E
FOR TAN TO DEEP SKIN", 085805227142, A0117328,43.00,68,13.95
,EASTOVMA1,ELIZABETH ARDEN/STANDING OVATION INTENSE BLACK MASCARA 0.29 OZ (8.2 ML), 085805569105, A0111145,25.00,60,10.00
,ELDOWEFO100-Q,ESTEE LAUDER/DOUBLE WEAR STAY-IN-PLACE MATTE PWD FOUNDATION 8C1 RICH JAVA 0.42, 887167446243, P9J0-09,49.00,73,13.20
,ELDOWEFO61B-Q,ESTEE LAUDER/DOUBLE WEAR STAY-IN-PLACE POWDER MAKEUP 7C1 RICH MAHOGANY(A8).42 OZ, 887167445338, P9J0C8,49.00,39,29.82
,ELDOWEFO85-Q,"ESTEE LAUDER/DOUBLE WEAR STAY-IN-PLACE MATTE PWD  FOUNDATION 7N1 DEEP AMBE 0.42 
TEINT LONGUE TENUE INTRANSF.", 887167445307, P9J0-C5,49.00,73,13.20
,ELDOWEFO86-Q,"ESTEE LAUDER/DOUBLE WEAR STAY-IN-PLACE MATTE PWDR  FOUNDATION 6N1 MOCHA 0.42 
TEINT LONGUE TENUE INTRANSF.", 887167445741, P9J0-CI,49.00,62,18.70
,ELDOWEFO37B-Q,ESTEE LAUDER/DOUBLE WEAR STAY-IN-PLACE MAKEUP 4W2 TOASTY TOFFEE (A0) 1.0 OZ, 027131977285, 1G5YA,49.00,49,25.05
,ELFUTFO10,"ESTEE LAUDER/FUTURIST HYDRA RESCUE MOISTURIZING MAKEUP 7N2 RICH AMBER  1.2 OZ 
BROAD SPECTRUM SPF 45", 887167467477, PEOW-C5,51.00,58,21.20
,ELPUCELG14-Q,ESTEE LAUDER/PURE COLOR ENVY LIQUID LIP POTION (GLOSS) 430 TRUE LIAR .24 OZ, 887167158917, R4C5-14,32.00,60,12.70
,ELPUCELG16-Q,ESTEE LAUDER/PURE COLOR ENVY VINYL LIPCOLOR 04 SHAMELESS.24 OZ, 887167264083, RJR4-04,32.00,46,17.20
,ELPUCELG18-Q,ESTEE LAUDER/PURE COLOR ENVY VINYL LIPCOLOR 03 SHOCK .24 OZ, 887167264076, RJR4-03,32.00,46,17.20
,ELPUCELG19-Q,ESTEE LAUDER/PURE COLOR ENVY VINYL LIPCOLOR 06 BURN .24 OZ, 887167264106, RJR4-06,32.00,53,15.20
,ELPUCELS73-Q,"ESTEE LAUDER/PURE COLOR ENVY LIPSTICK 05 RIPE 0.12 OZ 
VINYL LIPCOLOR", 887167264090, RJR4-05,32.00,74,8.25
,GNKISSLS34-Q,"GUERLAIN/KISS KISS SHINE BLOOM LIP COLOUR 719 LOVE BOUQUET 0.11 OZ/3.2 G 
24HR HYDRATING", 3346470436473, ,42.00,67,13.70
,GNKISSLS35-Q,"GUERLAIN/KISS KISS SHINE BLOOM LIP COLOUR 729 DAISY RED 0.11 OZ/3.2 G 
24HR HYDRATING", 3346470434998, ,42.00,67,13.70
,GNKISSLS25-Q,GUERLAIN/KISS KISS LIQUID MATTE LIP COLOUR L322 SEDUCTIVE MATTE 0.19OZ, 3346470429468, ,38.00,78,8.25
,GNKISSLS33-Q,"GUERLAIN/KISS KISS LIQUID LIP COLOUR L365 SENSUAL GLITTER 0.19OZ
GLITTER FINISH", 3346470429581, ,38.00,81,7.25
,GNLDPAFO17,GUERLAIN/LINGERIE DE PEAU NATURAL FOUNDATION (06C) VERY DEEP COOL 1.0 OZ, 3346470423077, 423077,63.00,88,7.75
,GNLDPAFO17-Q,GUERLAIN/LINGERIE DE PEAU NATURAL FOUNDATION (06C) VERY DEEP COOL 1.0 OZ, 3346470423077, ,63.00,85,9.25
,GNLDPAFO18,GUERLAIN/LINGERIE DE PEAU NATURAL FOUNDATION (06W) VERY DEEP WARM 1.0 OZ, 3346470423138, 423138,63.00,88,7.75
,GNLDPAFO18-Q,GUERLAIN/LINGERIE DE PEAU NATURAL FOUNDATION (06W) VERY DEEP WARM 1.0 OZ, 3346470423138, ,63.00,81,12.20
,GNLDPAFO19,GUERLAIN/LINGERIE DE PEAU NATURAL FOUNDATION (05N) DEEP 1.0 OZ, 3346470423015, ,63.00,87,8.25
,GNLPRNLS6-Q,"GUERLAIN/LA PETITE ROBE NOIRE LIPSTICK (003)RED HEELS 0.10 OZ (3 ML) 
DELICIOUSLY SHINY LIP COLOUR", 3346470421462, 421462,32.00,53,15.20
,GNLPRNLS27-Q,GUERLAIN/LA PETITE ROBE NOIRE LIP COLOUR’INK (L101) #ADVENTUROUS 0.20 OZ, 3346470424845, ,32.00,88,3.75
,GNMETPPW1,GUERLAIN/METEORITES ILLUMINATING POWDER PEARLS LIGHT  0.88 OZ (.029 ML), 3346470416659, 416659,68.00,41,40.15
,HALOCPL1-Q,"LOVE+HALO/HALO COSMETICS PRETTY PERFECT EYE SHADOW PALETTE W 6 SHADES
NEUTRAL SHADES", 883991128928, ,25.00,90,2.55
,HALO2-Q,"LOVE+HALO/MADE TO BE KISSED MATTE LIQUID LIPSTICK 3 PC SET  
0.25 OZ EACH", 883991128867, ,22.00,89,2.35
,JUPHYTES2-Q,JUICE BEAUTY/PHYTO-PIGMENTS CREAM SHADOW STICK (26-SMOKE) 0.05 OZ/1.3 G, 834893002557, ,22.00,62,8.45
