Product code,Description,Pack,Size,Measurement,Unit UPC,Category,[TI],[HI],Min Purchase Qty 1,Case Price 1,Unit Price 1,Min Purchase Qty 2,Case Price 2,Unit Price 2,Min Purchase Qty 3,Case Price 3,Unit Price 3,Min Purchase Qty 4,Case Price 4,Unit Price 4
10554,BADIA STANDARD SIZE NONPAREILS,8,4,oz,033844002077,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10555,BADIA STANDARD SIZE NUTMEG,8,2,oz,033844802172,Spices & Seasonings,60,13,0,$18.87,$2.36,,,,,,,,,
10556,BADIA STANDARD SIZE ONION POWDER,8,2.75,oz,033844000066,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10557,BADIA STANDARD SIZE ONION SALT,8,4.5,oz,033844007300,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10558,BADIA STANDARD SIZE OREGANO WHOLE,8,0.5,oz,033844000097,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10560,BADIA STANDARD SIZE PAPRIKA,8,2,oz,033844000110,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10561,BADIA STANDARD SIZE PUMPKIN PIE SPICE,8,2,oz,033844002046,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10562,BADIA STANDARD SIZE RAINBOW SPRINKLES,8,3,oz,033844001766,Spices & Seasonings,60,13,0,$11.12,$1.39,,,,,,,,,
16686,BADIA STANDARD SIZE RED LOBSTER SEAFOOD SEASONING,12,2.3,oz,00033844900939,Spices & Seasonings,40,13,0,$15.45,$1.29,,,,,,,,,
10563,BADIA STANDARD SIZE ROSEMARY,8,1,oz,033844007492,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10564,BADIA STANDARD SIZE SAZON TROPICAL,8,3.5,oz,033844001308,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10565,BADIA STANDARD SIZE SAZON TROPICAL WITH CORIANDER & ANNATTO,8,3.5,oz,033844001292,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10567,BADIA STANDARD SIZE SMOKED PAPRIKA,8,2,oz,000333844802134,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10568,BADIA STANDARD SIZE TABLE SALT,8,5.5,oz,033844001445,Spices & Seasonings,60,13,0,$6.51,$0.81,,,,,,,,,
10569,BADIA STANDARD SIZE TACO SEASONING ,8,2.75,oz,033844002633,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10570,BADIA STANDARD SIZE WHOLE BLACK PEPPER,8,2,oz,033844002268,Spices & Seasonings,60,13,0,$10.30,$1.29,,,,,,,,,
10571,BADIA STANDARD SIZE WHOLE CLOVES,8,1.25,oz,033844802189,Spices & Seasonings,,,0,$15.24,$1.91,,,,,,,,,
17579,BAMBOO BBQ SKEWERS IDEAL KITCHEN,12,100,ct,191554390072,Grilling Products,,,0,$10.51,$0.88,,,,,,,,,
10574,BAND AID PACK,12,8,ct,381370047544,Health & Beauty Aids,,,0,$10.30,$0.85,,,,,,,,,
10575,BAND AIDS BOX UNIT,1,40,ct,381370046677,Health & Beauty Aids,,,0,$4.11,$4.11,,,,,,,,,
10587,BAYER,30,2,ct,094187275337,Health & Beauty Aids,,,0,$9.79,$0.33,,,,,,,,,
10590,BEE NEW PLAYING CARDS ,12,0,ct,073854000922,Miscellaneous Non Food,,,0,$35.02,$2.91,,,,,,,,,
10592,BEECHNUT APPLE SAUCE ,10,4,oz,05220000502, W.I.C. Approved Items,32,12,0,$12.26,$1.23,,,,,,,,,
