Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,SHBIPESR3-Q,SHISEIDO/BIO-PERFORMANCE SERUM 1.0 OZ (30 ML), 730852119673, 11967,100.00,65,34.55
,SHBIPESR4-Q,"SHISEIDO/BIO-PERFORMANCE SERUM 1.0 OZ (30 ML)
UNEVENESS,REDNESS WRINKLES
PORES", 730852114807, 11480,98.00,69,30.30
,SHBIPEEC2-Q,"SHISEIDO/BIO-PERFORMANCE EYE CREAM .54 OZ (15 ML)
MULTI-CAPISISOLVE 1124", 730852119581, 11958,72.00,67,23.55
,SHESENCR1-Q,SHISEIDO/ESSENTIAL ENERGY DAY CREAM SPF 20 1.7 OZ (50 ML), 730852143234, 14323,50.00,63,18.70
,SHESENCR2-Q,SHISEIDO/ESSENTIAL ENERGY EYE DEFINER (EYE CREAM) .55 OZ (15 ML), 730852146624, 14662,44.00,56,19.20
,SHESSECLCR1B-Q,SHISEIDO/ESSENTIALS GENTLE CLEANSING CREAM 4.3 OZ (125 ML), 729238143425, 14342,30.00,68,9.55
,SHEUMIL2-Q,"SHISEIDO/EUDERMINE MOISTURIZER LOTION 4.2 OZ (125 ML)
FOR FACE AND NECK", 768614110019, ,62.00,55,27.80
,SHFUSOCR1,SHISEIDO/FUTURE SOLUTION LX EYE& LIP CONTOUR REGENERATING CREAM .6 OZ (15 ML), 730852139220, 13922,155.00,50,77.95
,SHFUSOL3-Q,SHISEIDO/FUTURE SOLUTION LX SPF 18 TOTAL PROTECTION EMULSION 2.5 OZ (75 ML), 730852109483, 10948,270.00,47,142.56
,SHFUSOSR2-Q,SHISEIDO/FUTURE SOLUTION LX  SUPERIOR RADIANCE SERUM 1.0 OZ (30 ML), 729238105379, 10537,225.00,58,95.24
,SHULMUSRCT1B-Q,SHISEIDO/ULTIMUNE POWER INFUSING CONCENTRATE SERUM 1.6 OZ (50 ML), 730852145344, ,110.00,72,30.80
,SHVIPEMK1-Q,SHISEIDO/VITAL PERFECTION LIFTDEFINE RADIANCE FACE MASK 2 X 6 SHEETS, 729238169579, 10116957101,105.00,70,31.25
,SHWAFRL1-Q,SHISEIDO/WASO FRESH LOTION 5.0 OZ (150 ML), 730852139664, 13966,32.00,73,8.75
,SHWASOMK2-Q,SHISEIDO/WASO BEAUTY SLEEPING MASK 2.8 OZ (80 ML), 729238149359, 14935,38.00,67,12.50
